GENE             CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000172493    4  87356154  88562206     40       5  46000       2.8447    0.0022226
ENSG00000145332    4  87581255  88661466     40       5  46000       2.8447    0.0022226
ENSG00000170509    4  87724941  88744058     43       6  46000       2.9127    0.0017918
ENSG00000198189    4  87757762  88812538     43       6  46000       2.9127    0.0017918
ENSG00000170502    4  87843734  88880606     43       6  46000       2.9127    0.0017918
ENSG00000152583    4  87894487  88952213     43       6  46000       2.9127    0.0017918
ENSG00000152591    4  88029681  89038062     43       6  46000       2.9127    0.0017918
ENSG00000152592    4  88071459  89085513     43       6  46000       2.9127    0.0017918
ENSG00000029559    4  88220733  89233074     46       7  46000       2.9841     0.001422
ENSG00000152595    4  88242563  89267969     46       7  46000       2.9841     0.001422
ENSG00000118785    4  88396819  89404562     47       8  46000       2.9714    0.0014821
ENSG00000118762    4  88428820  89498929     46       7  46000       2.9109     0.001802
ENSG00000118777    4  88511416  89652474     34       6  46000        4.278   9.4301e-06
ENSG00000163644    4  88678772  89705921     61      10  46000       4.8569   5.9612e-07
ENSG00000138642    4  88799891  89864263    105      16  46000       6.0875   5.7349e-10
ENSG00000138646    4  88878268  89927314    108      17  46000        6.089   5.6805e-10
ENSG00000145337    4  88942136  89944964    110      17  46000       6.1299   4.3976e-10
ENSG00000138641    4  88942199  90129693    110      17  46000       6.1299   4.3976e-10
ENSG00000255072    4  88942724  89942940    110      17  46000       6.1299   4.3976e-10
ENSG00000177432    4  89117066  90119386    108      17  46000       6.1219   4.6244e-10
ENSG00000138640    4  89147106  90532549    116      19  46000       6.1766   3.2756e-10
ENSG00000180346    4  89533968  90536050    111      18  46000       6.2053   2.7294e-10
ENSG00000185477    4  89657537  90729161    103      19  46000       6.1263   4.4969e-10
ENSG00000145335    4  90145250  91259466     37       8  46000       2.7954    0.0025914
ENSG00000138722    4  90300683  91375780     36       7  46000       2.7527    0.0029551
ENSG00000184305    4  90548686  93023064     29       5  46000       2.6382    0.0041672
